15
Alice Smith,0987654321,alice@example.com
Bob Johnson,1112223333,bob@company.com
Carol White,4445556666,carol@company.com
David Brown,7778889999,david@example.com
Eve Davis,6665554444,eve@example.com
Frank Miller,3334445555,frank@example.com
Grace Wilson,2223334444,grace@example.com
Hannah Clark,5556667777,hannah@example.com
Ian Lewis,8889990000,ian@example.com
John Doe,1234567890,john@example.com
arjun,4567890321,arjun123@gmail.com
hari,6767678989,harihari@gmail.com
rajesh,4545676743,rajesh@gmail.com
satya,9898989898,satya6767@gmail.com
vennela,2323234545,vennela567@gmail.com
